date,z_Money_supply,z_top_tier_home_value,z_mid_tier_home_value,z_bottom_tier_home_value,z_single_family_home_value,z_condo_coop_value
2010-02-01,-0.08142690042904228,0.07203521925004629,0.0666725772424347,0.06596390424027515,0.057485659780732716,0.11953004206099833
2010-03-01,-0.08216871779335544,0.06780643603503551,0.06326761305420242,0.06298538426145245,0.05429273904034016,0.11013564583539145
2010-04-01,-0.07460218067736163,0.0679407609366024,0.0639557530780753,0.06300631798509387,0.0551666390986103,0.10563806845765118
2010-05-01,-0.061026922910430534,0.06809651619264193,0.06440758925733388,0.06320065271956808,0.05577634692727167,0.10110238047216327
2010-06-01,-0.05632874626978055,0.06492762508415299,0.06114467539535418,0.06036169089835686,0.05295394763482397,0.09225414868034304
2010-07-01,-0.05393020345850162,0.05329472443253346,0.049647756301274604,0.05015405835525944,0.04187592169088608,0.0749319575479589
2010-08-01,-0.04149239898351745,0.03864280508606039,0.034707010193856205,0.03604786867928584,0.02747603180313349,0.05402658079199311
2010-09-01,-0.03382695288561485,0.02069131148911528,0.0166558979804803,0.018251412420670726,0.009946279402631495,0.030175385473046858
2010-10-01,-0.021685875356356576,0.0019045943384253974,-0.002333952473835513,-0.0003318029514791734,-0.008322124029954638,0.005831117739383147
2010-11-01,-0.016567335542595627,-0.019504609915528052,-0.023530273326023206,-0.020671008841774988,-0.029007832002920127,-0.020805831590004095
2010-12-01,-0.008728798726353109,-0.03981022094795663,-0.0439949009882692,-0.04035952482220751,-0.04901251111733871,-0.044904351611641746
2011-01-01,-0.003536077176161025,-0.05937739519095964,-0.06420893043344818,-0.06018376111091767,-0.06914330668704423,-0.07010623943550935
2011-02-01,0.012239905438231889,-0.07685153814709252,-0.08258211272615665,-0.077659233607026,-0.08747716021108037,-0.09236099453750819
2011-03-01,0.026186071887319112,-0.0962065098605097,-0.1023699911925785,-0.09654598797198075,-0.10698976770771702,-0.1184988263212944
2011-04-01,0.041393327855738786,-0.11830582755556691,-0.12437707098233775,-0.11762485209761778,-0.12820733921452934,-0.14741846963885824
2011-05-01,0.05885076316257512,-0.14131068277786824,-0.14735750819632204,-0.13992833905629518,-0.1503207724382044,-0.17900769532117852
2011-06-01,0.07759401523422066,-0.15998254443399637,-0.16656467778183912,-0.15857749565791648,-0.16908907540648652,-0.2036552709261557
2011-07-01,0.11856706098978409,-0.17285910598343537,-0.18041413789229413,-0.17182191371063932,-0.18255896515758313,-0.22160957248359014
2011-08-01,0.16594446332391768,-0.1834650304324628,-0.19166447906155828,-0.1824133311871678,-0.1934465117656053,-0.23590814684683395
2011-09-01,0.17116191211958695,-0.19275487899502583,-0.20123344467103232,-0.19137924502291725,-0.20264170600898074,-0.24930704803546364
2011-10-01,0.17951972109084832,-0.20235469732522887,-0.21065343611759624,-0.20068602965863236,-0.2119767155639927,-0.26246204133451045
2011-11-01,0.19205643454774082,-0.21118932593983528,-0.21945028226503552,-0.20972172257318705,-0.2208898873202877,-0.27370440778819577
2011-12-01,0.2038513306403197,-0.21982968068742031,-0.2277510690184393,-0.21759559382562663,-0.2290724534045777,-0.2858524925473803
